Model,Accuracy,Macro-F1
vader_pred,0.35197204193709436,0.32735155632505913
bert_trained_pred,0.7588617074388417,0.7020132543217651
bert_untrained_pred,0.3105341987019471,0.30118621197274115
pred_gpt-4o_baseline,0.5526709935097354,0.5039464616631821
pred_deepseek_baseline,0.6030953569645532,0.5117147317013159
pred_gpt-4o_no_punctuation,0.5546679980029955,0.5109312678741219
pred_gpt-4o_false_examples,0.4947578632051922,0.4497769685375328
pred_deepseek_no_punctuation,0.5546679980029955,0.4753130964269794
pred_deepseek_false_examples,0.5127309036445332,0.45396526682631827
