model,variant,accuracy,f1_weighted,f1_macro,elapsed_sec
gpt-4o,baseline,0.5424575424575424,0.5662155994495206,0.5005045343073173,3699.88
gpt-4o,no_punctuation,0.5677655677655677,0.5889625289782816,0.5231103775151552,4235.84
gpt-4o,false_examples,0.5008325008325009,0.5199426766796367,0.45740221554873434,5253.46
deepseek,baseline,0.6167166167166167,0.609957948906381,0.5256481985355489,15622.3
deepseek,no_punctuation,0.5601065601065601,0.5630718907496401,0.48318035490994227,19814.65
deepseek,false_examples,0.5201465201465202,0.5380804511528473,0.46323032195146047,27287.32
